ID,District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield
1,Ahmedabad,Kharif,2004,Castor seed,27.93464052,15.7,40.0,0.743458077,0.950262555,68.44052288,-0.919108131,-0.126934293,20.96666667,-1.98698988,3.35498438,5.537908497,4.487041673999999,3.35498438,3.0405228760000003,1.1893939390000001
2,Tonk,Kharif,2007,Castor seed,29.46097561,16.6,44.4,0.727876871,-0.35263064899999996,62.16178862,-0.34239442200000003,-1.131818954,20.35528455,-1.0854519440000001,0.779194009,,,0.779194009,3.25203252,0.25
3,Banswara,Whole year,2003,Potato,26.98794521,12.6,43.8,0.416612876,-0.075495086,44.39753425,0.58835619,-1.211034977,11.3460274,0.146486226,-1.331139035,,,-1.331139035,2.9501369860000004,2.43
4,Banswara,Whole year,2003,Other oilseeds,26.98794521,12.6,43.8,0.416612876,-0.075495086,44.39753425,0.58835619,-1.211034977,11.3460274,0.146486226,-1.331139035,,,-1.331139035,2.9501369860000004,0.71
5,Ahmedabad,Kharif,2007,Cotton,28.40457516,17.7,40.4,0.61918133,0.091038398,68.67777778,-1.185262697,0.08454618300000001,20.96078431,-1.780241641,1.834159492,7.111764706000001,3.9400835610000002,1.834159492,2.814379085,1.387149028
6,Banswara,Kharif,2010,Groundnut,27.53495935,15.7,41.3,1.015816028,0.917846552,70.78211382,-0.85847488,-0.08702291,21.31382114,-1.4015074730000001,2.419025191,,,2.419025191,3.444715447,1.97
7,Banswara,Whole year,2006,Potato,27.82849315,10.8,42.0,-0.07130329,-0.306885764,41.16136986,0.9244959490000001,-0.024316502,12.12136986,0.135054554,-1.1055824029999999,,,-1.1055824029999999,3.10109589,1.0
8,Gulberga,Summer,2004,Sunflower,28.71639344,16.1,41.5,0.009805263,-0.848559118,48.53688525,0.402157286,-1.288342785,15.42131148,-0.21647503699999998,-1.017080202,1.417213115,3.891425651,-1.017080202,2.717213115,0.44
9,Bhagalpur,Whole year,1998,Onion,13.0739726,-7.8,34.8,-0.183946671,-1.111573628,58.90356164,-0.255371773,-1.010121834,4.140273973,0.385317519,-1.063338897,,,-1.063338897,2.713150685,8.94
10,Banglore,Whole year,2002,Sugarcane,27.51456044,23.6,30.6,-0.66469082,0.535821996,73.68406593,-0.8773184140000001,0.43176217299999997,22.40686813,-1.26218864,1.5767542890000001,2.460989011,4.495101426000001,21.74861894,5.66978022,92.15
11,Gulberga,Whole year,2004,Sannhamp,25.86356164,14.7,41.2,0.954210826,0.35636492,59.02438356,-0.148591988,-1.298788408,16.28493151,-0.647814405,-0.808818299,2.14109589,3.7367090110000003,-0.808818299,3.1098630139999996,0.25
12,Banglore,Kharif,2007,Groundnut,26.021296300000003,16.5,34.2,0.487994404,-0.777858863,72.92777778,-0.731797687,0.08790717199999999,20.62407407,-1.7015996290000002,3.767065332,9.4,2.067511201,3.774307982,3.8759259260000003,0.97
13,Indore,Whole year,2011,Dry chillies,25.93241758,5.7,47.7,-0.053799447,-0.139087489,54.01978022,-1.23569892,-0.021229996,14.05851648,-0.063952668,-1.495487244,,,,3.623901099,1.16
14,Jaipur,Kharif,2006,Maize,29.38861789,18.8,43.6,0.714773511,-0.47001029,58.93658537,-0.17697337800000001,-1.5283633509999999,19.17479675,-0.838352465,-0.37948154,,,-0.37948154,2.9926829269999997,1.27
15,Bhagalpur,Whole year,2002,Onion,14.24191781,-6.9,34.8,-0.10442918,-1.2247342190000001,52.84547945,0.15363195400000002,-1.3381414409999999,3.486849315,0.45646623399999997,-1.081622692,,,-1.081622692,2.4476712330000003,8.59
16,Dharwad,Whole year,2005,Coriander,25.73791209,14.0,39.0,0.825946939,-0.467523432,58.45549451,-0.076603361,-1.323362151,16.04972527,-0.62409742,-0.702337095,3.842582418,16.01190104,3.71268091,3.414010989,0.1
17,Banglore,Whole year,2004,Potato,27.14697802,22.9,30.8,-0.333331731,-0.493111295,73.14697802,-0.666041431,0.13003107,21.92005495,-0.8832458759999999,0.402674123,2.8964285710000004,3.815555585,15.08080406,5.796428571,13.53
18,Gulberga,Kharif,2002,Maize,25.06666667,36.0,17.4,1.185747148,1.293744631,78.52682927,-1.233998662,0.869391438,20.95528455,-0.57642517,1.4787159019999998,4.372357724,3.4121364360000004,1.4787159019999998,3.865853659,2.04
19,Gulberga,Kharif,2007,Dry chillies,26.40731707,36.0,15.1,0.37700938700000003,-0.285488936,72.14796748,-0.241649275,-0.8077102970000001,20.88292683,-0.48851375399999997,-0.305563504,8.008130081000001,2.347137405,-0.305563504,4.139837398,2.55
20,Coimbatore,Kharif,2012,Sunflower,24.45070423,20.3,31.3,-0.587809193,0.154350566,76.73,0.111895676,-0.7409924990000001,20.14714286,0.956543897,0.68102316,,,,5.042857143,1.25
21,Indore,Whole year,2001,Dry chillies,25.02472527,7.0,43.3,0.18954276399999997,0.289872713,51.27005495,-1.488438933,0.308980737,12.3271978,-0.176073381,-0.941620103,2.2541208790000002,50.80199973,6.603352376,2.481868132,0.48
22,Jalna,Rabi,2001,Jowar,26.56265271,9.8,42.8,0.451374073,-0.063311933,46.01116928,0.719164895,-0.8310642420000001,12.55863874,0.172686635,-1.194958964,1.6598603840000001,5.626261966,37.26182762,2.837521815,0.89
23,Jaipur,Rabi,1997,Wheat,27.74796748,9.5,40.4,1.47579887,1.6777651409999998,75.44552846,-1.688493588,2.017872654,22.52357724,-2.16907143,5.191889853999999,,,5.191889853999999,2.58699187,2.27
24,Ahmedabad,Kharif,2009,Other kharif pulses,29.22745098,15.9,46.0,2.044899413,4.270032455,66.25163399,-0.933431655,-0.217584845,21.89281046,-1.93358494,3.09837663,,,3.09837663,4.390849673,0.804878049
25,Jaipur,Rabi,1998,Barley,29.69756098,19.6,42.1,0.298461829,-1.048559233,58.22276423,0.036185033,-1.38191977,19.52601626,-1.020816703,1.238418266,,,1.238418266,3.490243902,2.05
26,Gulberga,Kharif,1997,Arhar/tur,27.06747967,35.0,14.4,0.029661826000000002,-0.734819088,64.11463415,0.07666559099999999,-0.8196368159999999,19.44146341,-0.637053851,-0.369147536,3.944715447,2.251561724,-0.369147536,4.655284553,0.25
27,Coimbatore,Rabi,2003,Gram,24.87213115,14.7,37.6,0.702358693,0.519885258,68.24663024,-0.506258904,-0.861321562,18.30455373,-0.680057263,-0.621688397,3.463023679,3.930139093,18.63783839,3.181967213,0.74
28,Banswara,Kharif,1997,Cotton,27.05772358,13.4,40.7,1.862777313,3.556592442,77.23333333,-1.7418726119999999,2.326070509,22.32276423,-2.16232092,5.416920067,,,5.416920067,3.1121951219999997,1.91
29,Gulberga,Rabi,2006,Safflower,23.81900826,13.3,33.4,0.139891445,-0.625167679,58.81157025,0.199228343,-0.5404039,14.7338843,-1.166599067,1.174443016,0.867768595,7.270779738,1.174443016,2.52231405,0.66
30,Hisar,Kharif,2000,Bajra,29.28193548,2.9,42.1,0.208760312,-0.013868133999999999,52.61677419,0.06279692,-1.436760015,17.33354839,-0.885805953,-0.444589581,2.118064516,3.6492145889999996,-0.444589581,1.9961290319999998,1.28
31,Gulberga,Kharif,2009,Urad,26.00243902,40.1,19.8,0.9280448240000001,0.7739191320000001,74.61138211,-0.402714677,0.080079931,21.1195122,0.0425664,0.645082235,,,0.645082235,5.872357724,0.03
32,Rewari,Whole year,2008,Onion,24.65989011,1.6,46.3,-0.48093655399999996,-0.531908742,49.73818681,0.152346172,-1.322406747,11.69725275,-0.411151305,-0.894459993,2.221153846,4.235936675,21.30382273,2.648901099,17.85714286
33,Banswara,Kharif,2010,Other kharif pulses,27.53495935,15.7,41.3,1.015816028,0.917846552,70.78211382,-0.85847488,-0.08702291,21.31382114,-1.4015074730000001,2.419025191,,,2.419025191,3.444715447,0.52
34,Bhagalpur,Rabi,2003,Safflower,12.99123288,-7.6,33.5,-0.23604015899999997,-1.104022511,50.07972603,0.21828508300000002,-1.048260318,1.667671233,0.425563866,-0.8654583159999999,,,-0.8654583159999999,2.5723287669999997,0.82
35,Gulberga,Kharif,1997,Rice,27.06747967,35.0,14.4,0.029661826000000002,-0.734819088,64.11463415,0.07666559099999999,-0.8196368159999999,19.44146341,-0.637053851,-0.369147536,3.944715447,2.251561724,-0.369147536,4.655284553,1.85
